tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Polish Open Warsaw 2002,2002-11-14,KOSTAL Radek,SEREDA Peter,4,0,"11,11,11,11|8,7,6,9",,GRAND_SLAM,MS,1507,Qualification,KOSTAL Radek (CZE),SEREDA Peter (SVK),KOSTAL Radek
Polish Open Warsaw 2002,2002-11-14,GARDOS Robert,SVENSSON Robert,4,0,"11,11,11,11|4,6,7,7",3,GRAND_SLAM,MS,1507,Qualification,GARDOS Robert (AUT),SVENSSON Robert (SWE),GARDOS Robert
Polish Open Warsaw 2002,2002-11-14,KISHIKAWA Seiya,DIDUKH Oleksandr,4,3,"11,4,4,11,11,7,11|8,11,11,8,8,11,5",,GRAND_SLAM,MS,1507,Qualification,KISHIKAWA Seiya (JPN),DIDUKH Oleksandr (UKR),KISHIKAWA Seiya
Polish Open Warsaw 2002,2002-11-14,FEJER-KONNERTH Zoltan,DIDUKH Oleksandr,4,2,"11,12,9,11,11,11|8,10,11,9,13,9",QR2,GRAND_SLAM,MS,1507,Qualification,FEJER-KONNERTH Zoltan (GER),DIDUKH Oleksandr (UKR),FEJER-KONNERTH Zoltan
Polish Open Warsaw 2002,2002-11-14,FEJER-KONNERTH Zoltan,KISHIKAWA Seiya,4,1,"11,11,8,11,11|6,8,11,6,6",3,GRAND_SLAM,MS,1507,Qualification,FEJER-KONNERTH Zoltan (GER),KISHIKAWA Seiya (JPN),FEJER-KONNERTH Zoltan
Polish Open Warsaw 2002,2002-11-14,BALL Andreas,LIVENTSOV Alexey,4,0,"11,11,14,11|8,5,12,6",,GRAND_SLAM,MS,1507,Qualification,BALL Andreas (GER),LIVENTSOV Alexey (RUS),BALL Andreas
Polish Open Warsaw 2002,2002-11-14,LIVENTSOV Alexey,NILSSON Peter,4,2,"8,12,7,11,11,11|11,10,11,8,8,5",QR2,GRAND_SLAM,MS,1507,Qualification,LIVENTSOV Alexey (RUS),NILSSON Peter (SWE),LIVENTSOV Alexey
Polish Open Warsaw 2002,2002-11-14,NILSSON Peter,BALL Andreas,4,1,"11,8,11,11,11|6,11,6,9,1",3,GRAND_SLAM,MS,1507,Qualification,NILSSON Peter (SWE),BALL Andreas (GER),NILSSON Peter
Polish Open Warsaw 2002,2002-11-14,OMORI Takahiro,KHOMUTOV Mikhail,4,3,"4,10,8,11,11,11,11|11,12,11,5,6,9,6",,GRAND_SLAM,MS,1507,Qualification,OMORI Takahiro (JPN),KHOMUTOV Mikhail (RUS),OMORI Takahiro
Polish Open Warsaw 2002,2002-11-14,VARIN Eric,KHOMUTOV Mikhail,4,0,"11,11,11,11|5,9,8,6",QR2,GRAND_SLAM,MS,1507,Qualification,VARIN Eric (FRA),KHOMUTOV Mikhail (RUS),VARIN Eric
Polish Open Warsaw 2002,2002-11-14,VARIN Eric,OMORI Takahiro,4,1,"11,11,11,6,11|6,7,9,11,7",3,GRAND_SLAM,MS,1507,Qualification,VARIN Eric (FRA),OMORI Takahiro (JPN),VARIN Eric
Polish Open Warsaw 2002,2002-11-14,ASAMOAH Cyprian,SIMONER Christoph,4,3,"11,9,11,12,6,11,11|9,11,13,10,11,9,6",,GRAND_SLAM,MS,1507,Qualification,ASAMOAH Cyprian (SWE),SIMONER Christoph (AUT),ASAMOAH Cyprian
Polish Open Warsaw 2002,2002-11-14,TRUKSA Jaromir,SIMONER Christoph,4,2,"11,6,11,11,9,11|6,11,9,5,11,9",QR2,GRAND_SLAM,MS,1507,Qualification,TRUKSA Jaromir (SVK),SIMONER Christoph (AUT),TRUKSA Jaromir
Polish Open Warsaw 2002,2002-11-14,TRUKSA Jaromir,ASAMOAH Cyprian,4,0,"11,11,11,11|8,9,7,5",3,GRAND_SLAM,MS,1507,Qualification,TRUKSA Jaromir (SVK),ASAMOAH Cyprian (SWE),TRUKSA Jaromir
Polish Open Warsaw 2002,2002-11-14,SZAFRANEK Piotr,NEKHVEDOVICH Vitaly,4,0,"11,11,11,11|7,7,5,5",,GRAND_SLAM,MS,1507,Qualification,SZAFRANEK Piotr (POL),NEKHVEDOVICH Vitaly (BLR),SZAFRANEK Piotr
Polish Open Warsaw 2002,2002-11-14,CABESTANY Cedrik,NEKHVEDOVICH Vitaly,4,0,"11,11,11,14|8,8,9,12",QR2,GRAND_SLAM,MS,1507,Qualification,CABESTANY Cedrik (FRA),NEKHVEDOVICH Vitaly (BLR),CABESTANY Cedrik
Polish Open Warsaw 2002,2002-11-14,CABESTANY Cedrik,SZAFRANEK Piotr,4,1,"4,11,11,11,11|11,8,9,9,7",3,GRAND_SLAM,MS,1507,Qualification,CABESTANY Cedrik (FRA),SZAFRANEK Piotr (POL),CABESTANY Cedrik
Polish Open Warsaw 2002,2002-11-14,ROSNER Benjamin,OLLIVIER Brice,4,1,"11,11,11,7,11|7,4,4,11,4",,GRAND_SLAM,MS,1507,Qualification,ROSNER Benjamin (GER),OLLIVIER Brice (FRA),ROSNER Benjamin
Polish Open Warsaw 2002,2002-11-14,SANADA Koji,ROSNER Benjamin,4,2,"13,11,9,12,11,11|11,8,11,14,6,4",QR2,GRAND_SLAM,MS,1507,Qualification,SANADA Koji (JPN),ROSNER Benjamin (GER),SANADA Koji
Polish Open Warsaw 2002,2002-11-14,SANADA Koji,OLLIVIER Brice,4,3,"11,10,11,7,5,11,11|8,12,5,11,11,4,7",3,GRAND_SLAM,MS,1507,Qualification,SANADA Koji (JPN),OLLIVIER Brice (FRA),SANADA Koji
Polish Open Warsaw 2002,2002-11-14,GORAK Daniel,LIEVSHYN Vitaliy,4,0,"11,11,11,12|4,7,7,10",,GRAND_SLAM,MS,1507,Qualification,GORAK Daniel (POL),LIEVSHYN Vitaliy (UKR),GORAK Daniel
Polish Open Warsaw 2002,2002-11-14,JOVER Sebastien,LIEVSHYN Vitaliy,4,3,"12,11,9,8,11,11,13|10,8,11,11,13,4,11",QR2,GRAND_SLAM,MS,1507,Qualification,JOVER Sebastien (FRA),LIEVSHYN Vitaliy (UKR),JOVER Sebastien
Polish Open Warsaw 2002,2002-11-14,JOVER Sebastien,GORAK Daniel,4,0,"11,16,11,15|6,14,2,13",3,GRAND_SLAM,MS,1507,Qualification,JOVER Sebastien (FRA),GORAK Daniel (POL),JOVER Sebastien
Polish Open Warsaw 2002,2002-11-14,HOREJSI Miroslav,CHUMAKOU Dmitry,4,1,"8,11,11,11,11|11,7,4,8,8",,GRAND_SLAM,MS,1507,Qualification,HOREJSI Miroslav (CZE),CHUMAKOU Dmitry (BLR),HOREJSI Miroslav
Polish Open Warsaw 2002,2002-11-14,CHUMAKOU Dmitry,MOLDOVAN Istvan,3,2,"13,6,11,11,10|11,11,3,8,12",QR2,GRAND_SLAM,MS,1507,Qualification,CHUMAKOU Dmitry (BLR),MOLDOVAN Istvan (NOR),CHUMAKOU Dmitry
Polish Open Warsaw 2002,2002-11-14,MOLDOVAN Istvan,HOREJSI Miroslav,4,2,"11,11,5,8,14,11|5,4,11,11,12,7",3,GRAND_SLAM,MS,1507,Qualification,MOLDOVAN Istvan (NOR),HOREJSI Miroslav (CZE),MOLDOVAN Istvan
Polish Open Warsaw 2002,2002-11-14,REDZIMSKI Tomasz,ZWICKL Daniel,3,1,"6,11,11,11|11,9,6,7",,GRAND_SLAM,MS,1507,Qualification,REDZIMSKI Tomasz (POL),ZWICKL Daniel (HUN),REDZIMSKI Tomasz
Polish Open Warsaw 2002,2002-11-14,REDZIMSKI Tomasz,CLOSSET Marc,4,1,"11,5,12,11,15|4,11,10,3,13",QR2,GRAND_SLAM,MS,1507,Qualification,REDZIMSKI Tomasz (POL),CLOSSET Marc (BEL),REDZIMSKI Tomasz
Polish Open Warsaw 2002,2002-11-14,ZWICKL Daniel,CLOSSET Marc,4,3,"12,5,11,5,11,8,11|10,11,4,11,9,11,7",3,GRAND_SLAM,MS,1507,Qualification,ZWICKL Daniel (HUN),CLOSSET Marc (BEL),ZWICKL Daniel
Polish Open Warsaw 2002,2002-11-14,CIHAK Marek,BAST Mike,4,0,"12,11,11,13|10,5,4,11",,GRAND_SLAM,MS,1507,Qualification,CIHAK Marek (CZE),BAST Mike (LUX),CIHAK Marek
Polish Open Warsaw 2002,2002-11-14,DZIUBANSKI Michal,BAST Mike,4,0,"11,11,11,11|4,4,4,8",QR2,GRAND_SLAM,MS,1507,Qualification,DZIUBANSKI Michal (POL),BAST Mike (LUX),DZIUBANSKI Michal
Polish Open Warsaw 2002,2002-11-14,DZIUBANSKI Michal,CIHAK Marek,4,3,"5,5,11,11,15,13,11|11,11,9,7,17,11,7",3,GRAND_SLAM,MS,1507,Qualification,DZIUBANSKI Michal (POL),CIHAK Marek (CZE),DZIUBANSKI Michal
Polish Open Warsaw 2002,2002-11-14,MARSI Marton,WOS Alan,4,1,"7,12,15,11,11|11,10,13,6,3",,GRAND_SLAM,MS,1507,Qualification,MARSI Marton (HUN),WOS Alan (POL),MARSI Marton
Polish Open Warsaw 2002,2002-11-14,OLEJNIK Martin,WOS Alan,4,1,"11,11,9,11,11|3,4,11,7,8",QR2,GRAND_SLAM,MS,1507,Qualification,OLEJNIK Martin (CZE),WOS Alan (POL),OLEJNIK Martin
Polish Open Warsaw 2002,2002-11-14,OLEJNIK Martin,MARSI Marton,4,0,"11,11,11,12|3,9,8,10",3,GRAND_SLAM,MS,1507,Qualification,OLEJNIK Martin (CZE),MARSI Marton (HUN),OLEJNIK Martin
Polish Open Warsaw 2002,2002-11-14,SCHLICHTER Jorg,ADAMIAK Grzegorz,4,2,"11,7,9,11,11,11|8,11,11,9,9,4",,GRAND_SLAM,MS,1507,Qualification,SCHLICHTER Jorg (GER),ADAMIAK Grzegorz (ESP),SCHLICHTER Jorg
Polish Open Warsaw 2002,2002-11-14,ADAMIAK Grzegorz,LINDNER Adam,4,1,"7,11,11,11,13|11,9,7,4,11",QR2,GRAND_SLAM,MS,1507,Qualification,ADAMIAK Grzegorz (ESP),LINDNER Adam (HUN),ADAMIAK Grzegorz
Polish Open Warsaw 2002,2002-11-14,SCHLICHTER Jorg,LINDNER Adam,4,1,"11,11,8,11,12|4,8,11,7,10",3,GRAND_SLAM,MS,1507,Qualification,SCHLICHTER Jorg (GER),LINDNER Adam (HUN),SCHLICHTER Jorg
Polish Open Warsaw 2002,2002-11-14,ARAI Shu,GODLEWSKI Lukasz,4,0,"13,11,11,11|11,5,6,5",,GRAND_SLAM,MS,1507,Qualification,ARAI Shu (JPN),GODLEWSKI Lukasz (POL),ARAI Shu
Polish Open Warsaw 2002,2002-11-14,PAVELKA Tomas,GODLEWSKI Lukasz,4,2,"11,11,11,11,5,11|9,3,7,13,11,8",QR2,GRAND_SLAM,MS,1507,Qualification,PAVELKA Tomas (CZE),GODLEWSKI Lukasz (POL),PAVELKA Tomas
Polish Open Warsaw 2002,2002-11-14,ARAI Shu,PAVELKA Tomas,4,3,"10,11,9,11,4,11,11|12,7,11,1,11,4,4",3,GRAND_SLAM,MS,1507,Qualification,ARAI Shu (JPN),PAVELKA Tomas (CZE),ARAI Shu
Polish Open Warsaw 2002,2002-11-14,VOZICKY Bohumil,KIELB Dariusz,4,2,"11,8,12,11,7,11|6,11,10,8,11,3",,GRAND_SLAM,MS,1507,Qualification,VOZICKY Bohumil (CZE),KIELB Dariusz (POL),VOZICKY Bohumil
Polish Open Warsaw 2002,2002-11-14,MONTEIRO Thiago,KIELB Dariusz,4,2,"9,11,11,5,11,11|11,9,6,11,8,5",QR2,GRAND_SLAM,MS,1507,Qualification,MONTEIRO Thiago (BRA),KIELB Dariusz (POL),MONTEIRO Thiago
Polish Open Warsaw 2002,2002-11-14,MONTEIRO Thiago,VOZICKY Bohumil,4,2,"5,12,9,11,11,11|11,10,11,5,9,7",3,GRAND_SLAM,MS,1507,Qualification,MONTEIRO Thiago (BRA),VOZICKY Bohumil (CZE),MONTEIRO Thiago
Polish Open Warsaw 2002,2002-11-14,GERELL Par,KOSOWSKI Jakub,4,2,"11,7,11,8,11,14|9,11,7,11,7,12",,GRAND_SLAM,MS,1507,Qualification,GERELL Par (SWE),KOSOWSKI Jakub (POL),GERELL Par
Polish Open Warsaw 2002,2002-11-14,KUZMIN Fedor,GERELL Par,4,0,"11,11,13,11|2,4,11,6",QR2,GRAND_SLAM,MS,1507,Qualification,KUZMIN Fedor (RUS),GERELL Par (SWE),KUZMIN Fedor
Polish Open Warsaw 2002,2002-11-14,KUZMIN Fedor,KOSOWSKI Jakub,4,3,"11,8,11,7,12,9,12|7,11,3,11,10,11,10",3,GRAND_SLAM,MS,1507,Qualification,KUZMIN Fedor (RUS),KOSOWSKI Jakub (POL),KUZMIN Fedor
Polish Open Warsaw 2002,2002-11-14,RUBTSOV Igor,SZOTEK Karol,4,1,"11,11,11,11,11|6,13,8,9,8",,GRAND_SLAM,MS,1507,Qualification,RUBTSOV Igor (RUS),SZOTEK Karol (POL),RUBTSOV Igor
Polish Open Warsaw 2002,2002-11-14,CIOCIU Traian,SZOTEK Karol,4,0,"11,12,13,11|9,10,11,7",QR2,GRAND_SLAM,MS,1507,Qualification,CIOCIU Traian (LUX),SZOTEK Karol (POL),CIOCIU Traian
Polish Open Warsaw 2002,2002-11-14,CIOCIU Traian,RUBTSOV Igor,4,1,"6,13,12,11,11|11,11,10,9,9",3,GRAND_SLAM,MS,1507,Qualification,CIOCIU Traian (LUX),RUBTSOV Igor (RUS),CIOCIU Traian
Polish Open Warsaw 2002,2002-11-14,SUCH Bartosz,BITZIGEIO Jorg,4,1,"11,11,11,12,11|7,7,4,14,8",,GRAND_SLAM,MS,1507,Qualification,SUCH Bartosz (POL),BITZIGEIO Jorg (GER),SUCH Bartosz
Polish Open Warsaw 2002,2002-11-14,SAKAMOTO Ryusuke,BITZIGEIO Jorg,4,2,"11,8,4,11,11,11|7,11,11,7,6,8",QR2,GRAND_SLAM,MS,1507,Qualification,SAKAMOTO Ryusuke (JPN),BITZIGEIO Jorg (GER),SAKAMOTO Ryusuke
Polish Open Warsaw 2002,2002-11-14,SAKAMOTO Ryusuke,SUCH Bartosz,4,2,"11,11,10,4,11,11|2,8,12,11,4,9",3,GRAND_SLAM,MS,1507,Qualification,SAKAMOTO Ryusuke (JPN),SUCH Bartosz (POL),SAKAMOTO Ryusuke
Polish Open Warsaw 2002,2002-11-14,TOMICKI Jaroslaw,FAZEKAS Peter,4,3,"7,5,11,6,11,11,11|11,11,9,11,6,2,6",,GRAND_SLAM,MS,1507,Qualification,TOMICKI Jaroslaw (POL),FAZEKAS Peter (HUN),TOMICKI Jaroslaw
Polish Open Warsaw 2002,2002-11-14,FETH Stefan,TOMICKI Jaroslaw,4,3,"11,11,10,11,8,10,11|6,6,12,8,11,12,2",QR2,GRAND_SLAM,MS,1507,Qualification,FETH Stefan (GER),TOMICKI Jaroslaw (POL),FETH Stefan
Polish Open Warsaw 2002,2002-11-14,FAZEKAS Peter,FETH Stefan,4,3,"14,8,11,11,6,9,11|12,11,7,9,11,11,5",3,GRAND_SLAM,MS,1507,Qualification,FAZEKAS Peter (HUN),FETH Stefan (GER),FAZEKAS Peter
Polish Open Warsaw 2002,2002-11-14,PHUNG Armand,CHMIEL Pawel,4,2,"9,11,11,9,12,11|11,7,6,11,10,9",,GRAND_SLAM,MS,1507,Qualification,PHUNG Armand (FRA),CHMIEL Pawel (POL),PHUNG Armand
Polish Open Warsaw 2002,2002-11-14,PISTEJ Lubomir,CHMIEL Pawel,4,1,"11,11,10,14,11|2,4,12,12,9",QR2,GRAND_SLAM,MS,1507,Qualification,PISTEJ Lubomir (SVK),CHMIEL Pawel (POL),PISTEJ Lubomir
Polish Open Warsaw 2002,2002-11-14,PHUNG Armand,PISTEJ Lubomir,4,1,"10,11,11,12,11|12,9,5,10,8",3,GRAND_SLAM,MS,1507,Qualification,PHUNG Armand (FRA),PISTEJ Lubomir (SVK),PHUNG Armand
Polish Open Warsaw 2002,2002-11-14,SUSS Christian,LEWANDOWSKI Tomasz,4,1,"11,8,11,12,14|9,11,8,10,12",,GRAND_SLAM,MS,1507,Qualification,SUSS Christian (GER),LEWANDOWSKI Tomasz (POL),SUSS Christian
Polish Open Warsaw 2002,2002-11-14,QUENTEL Dorian,LEWANDOWSKI Tomasz,4,2,"11,8,7,11,17,11|6,11,11,6,15,7",QR2,GRAND_SLAM,MS,1507,Qualification,QUENTEL Dorian (FRA),LEWANDOWSKI Tomasz (POL),QUENTEL Dorian
Polish Open Warsaw 2002,2002-11-14,QUENTEL Dorian,SUSS Christian,4,2,"6,11,7,11,11,11|11,4,11,8,5,8",3,GRAND_SLAM,MS,1507,Qualification,QUENTEL Dorian (FRA),SUSS Christian (GER),QUENTEL Dorian
Polish Open Warsaw 2002,2002-11-14,MA Lin,LAKEEV Vasily,4,0,"11,11,11,11|7,6,9,9",R64,GRAND_SLAM,MS,1507,Main Draw,MA Lin (CHN),LAKEEV Vasily (RUS),MA Lin
Polish Open Warsaw 2002,2002-11-14,OLEJNIK Martin,KEINATH Thomas,4,3,"11,8,11,11,4,8,11|6,11,7,2,11,11,5",R64,GRAND_SLAM,MS,1507,Main Draw,OLEJNIK Martin (CZE),KEINATH Thomas (SVK),OLEJNIK Martin
Polish Open Warsaw 2002,2002-11-14,STEGER Bastian,QUENTEL Dorian,4,2,"9,11,11,9,13,15|11,6,7,11,11,13",R64,GRAND_SLAM,MS,1507,Main Draw,STEGER Bastian (GER),QUENTEL Dorian (FRA),STEGER Bastian
Polish Open Warsaw 2002,2002-11-14,SCHLICHTER Jorg,TASAKI Toshio,4,2,"11,11,11,12,6,11|13,7,7,10,11,9",R64,GRAND_SLAM,MS,1507,Main Draw,SCHLICHTER Jorg (GER),TASAKI Toshio (JPN),SCHLICHTER Jorg
Polish Open Warsaw 2002,2002-11-14,KOSTAL Radek,KRZESZEWSKI Tomasz,4,2,"11,11,7,3,11,11|5,4,11,11,9,8",R64,GRAND_SLAM,MS,1507,Main Draw,KOSTAL Radek (CZE),KRZESZEWSKI Tomasz (POL),KOSTAL Radek
Polish Open Warsaw 2002,2002-11-14,TANG Peng,TRUKSA Jaromir,4,1,"11,11,8,11,11|6,7,11,4,8",R64,GRAND_SLAM,MS,1507,Main Draw,TANG Peng (HKG),TRUKSA Jaromir (SVK),TANG Peng
Polish Open Warsaw 2002,2002-11-14,PAZSY Ferenc,REDZIMSKI Tomasz,4,0,"12,11,14,11|10,9,12,9",R64,GRAND_SLAM,MS,1507,Main Draw,PAZSY Ferenc (HUN),REDZIMSKI Tomasz (POL),PAZSY Ferenc
Polish Open Warsaw 2002,2002-11-14,KEEN Trinko,CIHAK Marek,4,2,"11,11,11,9,11,11|9,7,13,11,8,7",R64,GRAND_SLAM,MS,1507,Main Draw,KEEN Trinko (NED),CIHAK Marek (CZE),KEEN Trinko
Polish Open Warsaw 2002,2002-11-14,VOZICKY Bohumil,HAKANSSON Fredrik,4,2,"11,11,2,4,11,12|8,9,11,11,7,10",R64,GRAND_SLAM,MS,1507,Main Draw,VOZICKY Bohumil (CZE),HAKANSSON Fredrik (SWE),VOZICKY Bohumil
Polish Open Warsaw 2002,2002-11-14,GARDOS Robert,ERLANDSEN Geir,4,2,"7,11,7,13,11,11|11,9,11,11,4,5",R64,GRAND_SLAM,MS,1507,Main Draw,GARDOS Robert (AUT),ERLANDSEN Geir (NOR),GARDOS Robert
Polish Open Warsaw 2002,2002-11-14,LIVENTSOV Alexey,MANSSON Magnus,4,1,"11,6,12,11,12|7,11,10,8,10",R64,GRAND_SLAM,MS,1507,Main Draw,LIVENTSOV Alexey (RUS),MANSSON Magnus (SWE),LIVENTSOV Alexey
Polish Open Warsaw 2002,2002-11-14,SMIRNOV Alexey,SANADA Koji,4,1,"13,11,9,14,12|11,9,11,12,10",R64,GRAND_SLAM,MS,1507,Main Draw,SMIRNOV Alexey (RUS),SANADA Koji (JPN),SMIRNOV Alexey
Polish Open Warsaw 2002,2002-11-14,BLASZCZYK Lucjan,TOKIC Bojan,4,2,"9,11,11,10,11,11|11,6,6,12,9,8",R64,GRAND_SLAM,MS,1507,Main Draw,BLASZCZYK Lucjan (POL),TOKIC Bojan (SLO),BLASZCZYK Lucjan
Polish Open Warsaw 2002,2002-11-14,FEJER-KONNERTH Zoltan,MOLIN Magnus,4,2,"8,11,11,11,6,13|11,7,5,8,11,11",R64,GRAND_SLAM,MS,1507,Main Draw,FEJER-KONNERTH Zoltan (GER),MOLIN Magnus (SWE),FEJER-KONNERTH Zoltan
Polish Open Warsaw 2002,2002-11-14,WANG Jianfeng,MONTEIRO Thiago,4,1,"11,11,11,7,11|5,8,9,11,5",R64,GRAND_SLAM,MS,1507,Main Draw,WANG Jianfeng (NOR),MONTEIRO Thiago (BRA),WANG Jianfeng
Polish Open Warsaw 2002,2002-11-14,BOLL Timo,OMORI Takahiro,4,3,"11,13,9,11,6,9,11|9,11,11,7,11,11,3",R64,GRAND_SLAM,MS,1507,Main Draw,BOLL Timo (GER),OMORI Takahiro (JPN),BOLL Timo
Polish Open Warsaw 2002,2002-11-14,SCHLAGER Werner,KISHIKAWA Seiya,4,1,"11,11,13,15,11|9,6,11,17,6",R64,GRAND_SLAM,MS,1507,Main Draw,SCHLAGER Werner (AUT),KISHIKAWA Seiya (JPN),SCHLAGER Werner
Polish Open Warsaw 2002,2002-11-14,KUSINSKI Marcin,JOVER Sebastien,4,2,"8,11,11,11,12,11|11,13,9,6,10,7",R64,GRAND_SLAM,MS,1507,Main Draw,KUSINSKI Marcin (POL),JOVER Sebastien (FRA),KUSINSKI Marcin
Polish Open Warsaw 2002,2002-11-14,HIELSCHER Lars,CIOCIU Traian,4,0,"12,11,11,11|10,3,4,8",R64,GRAND_SLAM,MS,1507,Main Draw,HIELSCHER Lars (GER),CIOCIU Traian (LUX),HIELSCHER Lars
Polish Open Warsaw 2002,2002-11-14,CHEN Weixing,KLASEK Marek,4,2,"11,6,11,1,11,11|8,11,7,11,4,7",R64,GRAND_SLAM,MS,1507,Main Draw,CHEN Weixing (AUT),KLASEK Marek (CZE),CHEN Weixing
Polish Open Warsaw 2002,2002-11-14,MAZE Michael,ARAI Shu,4,1,"11,10,11,11,11|5,12,9,7,7",R64,GRAND_SLAM,MS,1507,Main Draw,MAZE Michael (DEN),ARAI Shu (JPN),MAZE Michael
Polish Open Warsaw 2002,2002-11-14,LUNDQVIST Jens,HOREJSI Miroslav,4,0,"11,11,11,11|8,8,6,4",R64,GRAND_SLAM,MS,1507,Main Draw,LUNDQVIST Jens (SWE),HOREJSI Miroslav (CZE),LUNDQVIST Jens
Polish Open Warsaw 2002,2002-11-14,KUZMIN Fedor,PLACHY Josef,4,0,"11,12,11,11|3,10,9,4",R64,GRAND_SLAM,MS,1507,Main Draw,KUZMIN Fedor (RUS),PLACHY Josef (CZE),KUZMIN Fedor
Polish Open Warsaw 2002,2002-11-14,KONG Linghui,RUBTSOV Igor,4,0,"11,11,12,11|4,6,10,4",R64,GRAND_SLAM,MS,1507,Main Draw,KONG Linghui (CHN),RUBTSOV Igor (RUS),KONG Linghui
Polish Open Warsaw 2002,2002-11-14,HEISTER Danny,ROBERTSON Adam,4,1,"14,11,11,6,11|12,9,7,11,9",R64,GRAND_SLAM,MS,1507,Main Draw,HEISTER Danny (NED),ROBERTSON Adam (WAL),HEISTER Danny
Polish Open Warsaw 2002,2002-11-14,WANG Jianjun,CABESTANY Cedrik,4,1,"11,11,11,5,11|6,9,4,11,5",R64,GRAND_SLAM,MS,1507,Main Draw,WANG Jianjun (CHN),CABESTANY Cedrik (FRA),WANG Jianjun
Polish Open Warsaw 2002,2002-11-14,VARIN Eric,BRATANOV Martin,4,3,"8,11,4,13,5,15,11|11,9,11,11,11,13,8",R64,GRAND_SLAM,MS,1507,Main Draw,VARIN Eric (FRA),BRATANOV Martin (BEL),VARIN Eric
Polish Open Warsaw 2002,2002-11-14,QIN Zhijian,DZIUBANSKI Michal,4,0,"11,11,11,13|7,4,4,11",R64,GRAND_SLAM,MS,1507,Main Draw,QIN Zhijian (CHN),DZIUBANSKI Michal (POL),QIN Zhijian
Polish Open Warsaw 2002,2002-11-14,WOSIK Torben,SAKAMOTO Ryusuke,4,2,"11,2,12,9,11,11|9,11,10,11,6,9",R64,GRAND_SLAM,MS,1507,Main Draw,WOSIK Torben (GER),SAKAMOTO Ryusuke (JPN),WOSIK Torben
Polish Open Warsaw 2002,2002-11-14,FETH Stefan,LENGEROV Kostadin,4,0,"11,11,12,11|2,4,10,7",R64,GRAND_SLAM,MS,1507,Main Draw,FETH Stefan (GER),LENGEROV Kostadin (AUT),FETH Stefan
Polish Open Warsaw 2002,2002-11-14,SHMYREV Maxim,PHUNG Armand,4,1,"11,11,6,11,11|8,8,11,6,9",R64,GRAND_SLAM,MS,1507,Main Draw,SHMYREV Maxim (RUS),PHUNG Armand (FRA),SHMYREV Maxim
